app_name,task_desc,hash,n_actions,actions,groundtruth,guardian,guardian_strict_eval,guardian_action_eval
applauncher,Change column count to 3,33bf89881ca2824783b69b9dce9e15c2d6f31d0266e00651e7d03d54dd07d385,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Column count', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': '3 columns', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Column count""
- ACTION 3: touched on a button that has text ""3 columns""
","-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Column count""
-ACTION 3: touched on button that has text ""3 columns""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Settings""
-ACTION 6: touched on button that has text ""Customize colors""
-ACTION 7: touched on button that has text ""Theme""
-ACTION 8: touched on button that has text ""System default (Material You)""
-ACTION 9: touched on button that has text ""Theme""
-ACTION 10: touched on button that has text ""Custom""
-ACTION 11: touched on button that has text ""Theme""
-ACTION 12: touched on button that has text ""Auto light / dark""
-ACTION 13: touched on button that has text ""Theme""
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: touched on button that has text ""Theme""
- ACTION 16: Task completed?
",0,"[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false]"
applauncher,Change theme color to light,11a062dc6dffce8acf85d276048014f2d7e3789ce92578de394b7d7b52ec1df0,8,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Settings', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Customize colors', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Theme', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'OK', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Light', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': None, 'content-desc': 'Save', 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: touched on a button that has text ""Customize colors""
- ACTION 4: touched on a button that has text ""Theme""
- ACTION 5: touched on a button that has text ""OK""
- ACTION 6: touched on a button that has text ""Light""
- ACTION 7: touched on a button that has content-desc ""Save""
","-ACTION 1: touched on button that has text ""Light""
-ACTION 2: touched on button that has text ""White""
-ACTION 3: touched on button that has content-desc ""More options""
-ACTION 4: touched on button that has text ""Settings""
-ACTION 5: touched on button that has text ""Customize colors""
-ACTION 6: touched on button that has text ""Theme""
-ACTION 7: touched on button that has text ""Auto light / dark""
-ACTION 8: touched on button that has text ""Theme""
-ACTION 9: touched on button that has text ""Custom""
-ACTION 10: touched on button that has text ""Theme""
-ACTION 11: touched on button that has text ""System default (Material You)""
-ACTION 12: touched on button that has text ""Theme""
-ACTION 13: touched on button that has text ""Dark""
-ACTION 14: touched on button that has text ""Theme""
-ACTION 15: touched on button that has text ""Black & White""
- ACTION 16: Task completed?
",0,"[true, false, true, true, true, true, false, false, true, false, false, false, false, false, false]"
applauncher,Disable closing this app when launching a different one,20112d3f45c57515f523084bb615fffabe2f463d2f300465d9dac7b9b155d8ee,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Settings', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Close this app at launching a different one', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: touched on a button that has text ""Close this app at launching a different one""
","-ACTION 1: touched on button that has class name ""android.widget.ImageButton""
-ACTION 2: touched on button that has content-desc ""Toggle app name visibility""
-ACTION 3: touched on button that has content-desc ""Toggle app name visibility""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Settings""
-ACTION 6: touched on button that has text ""Close this app at launching a different one""
-ACTION 7: touched on button that has class name ""android.widget.ImageButton""
-ACTION 8: touched on button that has text ""Contacts""
-ACTION 9: touched on button that has text ""Clock""
-ACTION 10: touched on button that has text ""Chrome""
-ACTION 11: touched on button that has text ""Calendar""
-ACTION 12: touched on button that has text ""Camera""
-ACTION 13: touched on button that has content-desc ""Sort by""
-ACTION 14: touched on button that has text ""OK""
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
",0,"[false, false, false, true, true, true, false, false, false, false, false, false, false, false, false]"
applauncher,Sort apps by title in descending order,9d9d67ba3b1f3437eca954256ed689804dce365028f9c994f08866dd946fb371,4,"[{'action': 'click', 'text': None, 'content-desc': 'Sort by', 'input_text': None}, {'action': 'click', 'text': 'Descending', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'OK', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""Sort by""
- ACTION 2: touched on a button that has text ""Descending""
- ACTION 3: touched on a button that has text ""OK""
","-ACTION 1: touched on button that has content-desc ""Sort by""
-ACTION 2: touched on button that has text ""Descending""
-ACTION 3: touched on button that has text ""Title""
-ACTION 4: touched on button that has text ""Custom""
-ACTION 5: touched on button that has text ""Title""
-ACTION 6: touched on button that has text ""Ascending""
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: touched on button that has content-desc ""Sort by""
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: touched on button that has content-desc ""Sort by""
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: touched on button that has content-desc ""Sort by""
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: touched on button that has content-desc ""Sort by""
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
",0,"[true, true, false, false, false, false, false, false, false, false, false, false, false, false, false]"
applauncher,search 'Clock' app and open it,335b0baf56e14f8384b667abae952611e4c2837d022e396408f4cd54df95e672,3,"[{'action': 'set_text', 'text': 'Search', 'content-desc': None, 'input_text': 'Clock'}, {'action': 'click', 'text': 'Clock', 'content-desc': None, 'input_text': None}]","- ACTION 1: filled a focused textfield that has text ""Search"" with the text ""Clock""
- ACTION 2: touched on a button that has text ""Clock""
","-ACTION 1: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 2: filled a focused textfield that has text ""Search"" with the text ""Clock""
-ACTION 3: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Column count""
-ACTION 6: scrolled
-ACTION 7: touched on button that has text ""1 column""
-ACTION 8: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 9: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 10: filled a focused textfield that has text ""Search"" with the text ""Clock""
-ACTION 11: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 12: touched on button that has content-desc ""More options""
-ACTION 13: touched on button that has text ""Settings""
-ACTION 14: touched on button that has class name ""android.widget.ImageButton""
-ACTION 15: touched on button that has resource-id ""top_toolbar_search_icon""
- ACTION 16: Task completed?
",0,"[false, true, false, false, false, false, false, false, false, false, false, false, false, false]"
calendar,Add the holidays of China to the calendar,eef0462cd417a5f937ff9ec6aa34f1499a811574dd64ef9df7dbac3899f9e57a,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Add holidays', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'China', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Add holidays""
- ACTION 3: touched on a button that has text ""China""
","-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Add holidays""
-ACTION 3: touched on button that has text ""China""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Settings""
-ACTION 6: touched on button that has text ""Manage event types""
-ACTION 7: touched on button that has text ""Holidays""
-ACTION 8: filled a focused textfield that has text ""Holidays"" with the text ""China Holidays""
-ACTION 9: touched on button that has resource-id ""type_color""
-ACTION 10: touched on button that has text ""OK""
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: touched on button that has content-desc ""Add a new type""
-ACTION 14: touched on button that has resource-id ""type_color""
-ACTION 15: touched on button that has text ""OK""
- ACTION 16: Task completed?
",0,"[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false]"
calendar,Add the holidays of South Africa to the calendar and list all the events in 2023,08cd9f2b2ff579e2b0f003f1104530ed4d365175b067c1a96addc3b5984717db,6,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Add holidays', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'South Africa', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': None, 'content-desc': 'Change view', 'input_text': None}, {'action': 'click', 'text': 'Simple event list', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Add holidays""
- ACTION 3: touched on a button that has text ""South Africa""
- ACTION 4: touched on a button that has content-desc ""Change view""
- ACTION 5: touched on a button that has text ""Simple event list""
","-ACTION 1: touched on button that has resource-id ""type_color""
-ACTION 2: touched on button that has content-desc ""New Event""
-ACTION 3: touched on button that has content-desc ""Save""
-ACTION 4: touched on button that has text ""October 7 (Mon)""
-ACTION 5: touched on button that has text ""2024""
-ACTION 6: touched on button that has text ""2023""
-ACTION 7: touched on button that has text ""Sat, Oct 7""
-ACTION 8: touched on button that has text ""2023""
-ACTION 9: touched on button that has text ""2023""
-ACTION 10: touched on button that has text ""OK""
-ACTION 11: touched on button that has content-desc ""Save""
-ACTION 12: touched on button that has text ""October 7 2023 (Sat)""
-ACTION 13: touched on button that has text ""CANCEL""
-ACTION 14: touched on button that has content-desc ""Save""
-ACTION 15: touched on button that has text ""October 7 2023 (Sat)""
- ACTION 16: Task completed?
",0,"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]"
calendar,Add the holidays of United States to the calendar,a51a8fec104595cec8cbcf32b04a7ffb4776b88b4da9808a77e3039f9e7aa6d1,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Add holidays', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'United States', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Add holidays""
- ACTION 3: touched on a button that has text ""United States""
","-ACTION 1: touched on button that has text ""Regular event""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Add holidays""
-ACTION 4: touched on button that has text ""Canada""
-ACTION 5: touched on button that has content-desc ""More options""
-ACTION 6: touched on button that has text ""Settings""
-ACTION 7: touched on button that has text ""Manage event types""
-ACTION 8: touched on button that has text ""Holidays""
-ACTION 9: filled a focused textfield that has text ""Holidays"" with the text ""United States holidays""
-ACTION 10: touched on button that has resource-id ""type_color""
-ACTION 11: touched on button that has text ""OK""
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: touched on button that has content-desc ""Add a new type""
-ACTION 15: touched on button that has resource-id ""type_color""
- ACTION 16: Task completed?
",0,"[false, true, true, false, false, false, false, false, false, false, false, false, false, false, false]"
calendar,Use 24 hour formats in the Calendar app,09b90ed4319d2ffd24dd52050c99b3c6b3b13e187306ba5ec426d4d3e1d063c6,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Settings', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Use 24-hour time format OFF', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Settings""
- ACTION 3: touched on a button that has text ""Use 24-hour time format OFF""
","-ACTION 1: touched on button that has text ""All-day ON""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""
-ACTION 4: touched on button that has text ""Use 24-hour time format ON""
-ACTION 5: touched on button that has text ""Customize colors""
-ACTION 6: touched on button that has content-desc ""Navigate up""
-ACTION 7: touched on button that has text ""Manage event types""
-ACTION 8: touched on button that has text ""Holidays""
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: pressed ""BACK"" button to navigate back
-ACTION 11: touched on button that has text ""Regular event""
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: touched on button that has content-desc ""Navigate up""
-ACTION 15: touched on button that has text ""Reminder sound""
- ACTION 16: Task completed?
",0,"[false, true, true, false, false, false, false, false, false, false, false, false, false, false, false]"
calendar,add all my contacts' birthdays into the calendar,accffc404ccc6f395130ddc325f4ca34b7b7da503e55267f249b4a4fe00cde1e,4,"[{'action': 'click', 'text': None, 'content-desc': 'More options', 'input_text': None}, {'action': 'click', 'text': 'Add contact birthdays', 'content-desc': None, 'input_text': None}, {'action': 'click', 'text': 'Allow', 'content-desc': None, 'input_text': None}]","- ACTION 1: touched on a button that has content-desc ""More options""
- ACTION 2: touched on a button that has text ""Add contact birthdays""
- ACTION 3: touched on a button that has text ""Allow""
","-ACTION 1: touched on button that has content-desc ""Save""
-ACTION 2: touched on button that has text ""Add contact birthdays""
-ACTION 3: touched on button that has content-desc ""New Event""
-ACTION 4: touched on button that has text ""October 5 (Sat)""
-ACTION 5: touched on button that has text ""OK""
-ACTION 6: touched on button that has content-desc ""Save""
-ACTION 7: touched on button that has text ""October 5 (Sat)""
-ACTION 8: scrolled
-ACTION 9: touched on button that has content-desc ""01 October 2024""
-ACTION 10: touched on button that has content-desc ""Previous month""
-ACTION 11: touched on button that has text ""OK""
-ACTION 12: touched on button that has content-desc ""Save""
-ACTION 13: touched on button that has text ""October 1 (Tue)""
-ACTION 14: touched on button that has content-desc ""Next month""
-ACTION 15: touched on button that has text ""OK""
- ACTION 16: Task completed?
",0,"[false, true, false, false, false, false, false, false, false, false, false, false, false, false]"
