app_name,task_desc,hash,original_actions,groundtruth_actions,trimmed_actions,correct_actions,total_actions,precision,all_correct,task_completed,prefix_complete,end_correctly,last_action_eval,is_achieved,guardian_actions,action_evals
applauncher,Change column count to 3,33bf89881ca2824783b69b9dce9e15c2d6f31d0266e00651e7d03d54dd07d385,15,3,15,3,15,0.2,False,False,0.2,False,False,False,"-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Column count""
-ACTION 3: touched on button that has text ""3 columns""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Settings""
-ACTION 6: touched on button that has text ""Customize colors""
-ACTION 7: touched on button that has text ""Theme""
-ACTION 8: touched on button that has text ""System default (Material You)""
-ACTION 9: touched on button that has text ""Theme""
-ACTION 10: touched on button that has text ""Custom""
-ACTION 11: touched on button that has text ""Theme""
-ACTION 12: touched on button that has text ""Auto light / dark""
-ACTION 13: touched on button that has text ""Theme""
-ACTION 14: pressed ""BACK"" button to navigate back
-ACTION 15: touched on button that has text ""Theme""
- ACTION 16: Task completed?
","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
applauncher,Change theme color to light,11a062dc6dffce8acf85d276048014f2d7e3789ce92578de394b7d7b52ec1df0,16,7,7,4,7,0.5714285714285714,False,True,0.5714285714285714,False,False,True,"-ACTION 1: touched on button that has content-desc ""Settings""
-ACTION 2: touched on button that has text ""Customize colors""
-ACTION 3: touched on button that has text ""Theme""
-ACTION 4: touched on button that has text ""Light""
-ACTION 5: touched on button that has text ""Text color""
-ACTION 6: filled a focused textfield that has text ""2D2D2D"" with the text ""#FFFFFF""
-ACTION 7: pressed ""BACK"" button to navigate back","[True, True, True, True, False, False, False]"
applauncher,Disable closing this app when launching a different one,20112d3f45c57515f523084bb615fffabe2f463d2f300465d9dac7b9b155d8ee,16,3,3,0,3,0.0,False,True,0.0,False,False,True,"-ACTION 1: touched on button that has class name ""android.widget.ImageButton""
-ACTION 2: touched on button that has content-desc ""Toggle app name visibility""
-ACTION 3: touched on button that has content-desc ""Toggle app name visibility""","[False, False, False]"
applauncher,Sort apps by title in descending order,9d9d67ba3b1f3437eca954256ed689804dce365028f9c994f08866dd946fb371,15,3,15,2,15,0.13333333333333333,False,False,0.13333333333333333,False,False,False,"-ACTION 1: touched on button that has content-desc ""Sort by""
-ACTION 2: touched on button that has text ""Descending""
-ACTION 3: touched on button that has text ""Title""
-ACTION 4: touched on button that has text ""Custom""
-ACTION 5: touched on button that has text ""Title""
-ACTION 6: touched on button that has text ""Ascending""
-ACTION 7: pressed ""BACK"" button to navigate back
-ACTION 8: touched on button that has content-desc ""Sort by""
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: touched on button that has content-desc ""Sort by""
-ACTION 11: pressed ""BACK"" button to navigate back
-ACTION 12: touched on button that has content-desc ""Sort by""
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: touched on button that has content-desc ""Sort by""
-ACTION 15: pressed ""BACK"" button to navigate back
- ACTION 16: Task completed?
","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
applauncher,search 'Clock' app and open it,335b0baf56e14f8384b667abae952611e4c2837d022e396408f4cd54df95e672,14,2,14,1,14,0.07142857142857142,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 2: filled a focused textfield that has text ""Search"" with the text ""Clock""
-ACTION 3: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 4: touched on button that has content-desc ""More options""
-ACTION 5: touched on button that has text ""Column count""
-ACTION 6: scrolled
-ACTION 7: touched on button that has text ""1 column""
-ACTION 8: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 9: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 10: filled a focused textfield that has text ""Search"" with the text ""Clock""
-ACTION 11: touched on button that has resource-id ""top_toolbar_search_icon""
-ACTION 12: touched on button that has content-desc ""More options""
-ACTION 13: touched on button that has text ""Settings""
-ACTION 14: touched on button that has class name ""android.widget.ImageButton""
-ACTION 15: touched on button that has resource-id ""top_toolbar_search_icon""
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
calendar,Add the holidays of China to the calendar,eef0462cd417a5f937ff9ec6aa34f1499a811574dd64ef9df7dbac3899f9e57a,16,3,3,3,3,1.0,True,True,1.0,False,False,True,"-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Add holidays""
-ACTION 3: touched on button that has text ""China""","[True, True, True]"
calendar,Add the holidays of South Africa to the calendar and list all the events in 2023,08cd9f2b2ff579e2b0f003f1104530ed4d365175b067c1a96addc3b5984717db,15,5,15,0,15,0.0,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has resource-id ""type_color""
-ACTION 2: touched on button that has content-desc ""New Event""
-ACTION 3: touched on button that has content-desc ""Save""
-ACTION 4: touched on button that has text ""October 7 (Mon)""
-ACTION 5: touched on button that has text ""2024""
-ACTION 6: touched on button that has text ""2023""
-ACTION 7: touched on button that has text ""Sat, Oct 7""
-ACTION 8: touched on button that has text ""2023""
-ACTION 9: touched on button that has text ""2023""
-ACTION 10: touched on button that has text ""OK""
-ACTION 11: touched on button that has content-desc ""Save""
-ACTION 12: touched on button that has text ""October 7 2023 (Sat)""
-ACTION 13: touched on button that has text ""CANCEL""
-ACTION 14: touched on button that has content-desc ""Save""
-ACTION 15: touched on button that has text ""October 7 2023 (Sat)""
- ACTION 16: Task completed?
","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
calendar,Add the holidays of United States to the calendar,a51a8fec104595cec8cbcf32b04a7ffb4776b88b4da9808a77e3039f9e7aa6d1,15,3,15,2,15,0.13333333333333333,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has text ""Regular event""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Add holidays""
-ACTION 4: touched on button that has text ""Canada""
-ACTION 5: touched on button that has content-desc ""More options""
-ACTION 6: touched on button that has text ""Settings""
-ACTION 7: touched on button that has text ""Manage event types""
-ACTION 8: touched on button that has text ""Holidays""
-ACTION 9: filled a focused textfield that has text ""Holidays"" with the text ""United States holidays""
-ACTION 10: touched on button that has resource-id ""type_color""
-ACTION 11: touched on button that has text ""OK""
-ACTION 12: pressed ""BACK"" button to navigate back
-ACTION 13: pressed ""BACK"" button to navigate back
-ACTION 14: touched on button that has content-desc ""Add a new type""
-ACTION 15: touched on button that has resource-id ""type_color""
- ACTION 16: Task completed?
","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
calendar,Use 24 hour formats in the Calendar app,09b90ed4319d2ffd24dd52050c99b3c6b3b13e187306ba5ec426d4d3e1d063c6,16,3,3,2,3,0.6666666666666666,False,True,0.0,False,False,True,"-ACTION 1: touched on button that has text ""All-day ON""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""","[False, True, True]"
calendar,add all my contacts' birthdays into the calendar,accffc404ccc6f395130ddc325f4ca34b7b7da503e55267f249b4a4fe00cde1e,14,3,14,1,14,0.07142857142857142,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has content-desc ""Save""
-ACTION 2: touched on button that has text ""Add contact birthdays""
-ACTION 3: touched on button that has content-desc ""New Event""
-ACTION 4: touched on button that has text ""October 5 (Sat)""
-ACTION 5: touched on button that has text ""OK""
-ACTION 6: touched on button that has content-desc ""Save""
-ACTION 7: touched on button that has text ""October 5 (Sat)""
-ACTION 8: scrolled
-ACTION 9: touched on button that has content-desc ""01 October 2024""
-ACTION 10: touched on button that has content-desc ""Previous month""
-ACTION 11: touched on button that has text ""OK""
-ACTION 12: touched on button that has content-desc ""Save""
-ACTION 13: touched on button that has text ""October 1 (Tue)""
-ACTION 14: touched on button that has content-desc ""Next month""
-ACTION 15: touched on button that has text ""OK""
- ACTION 16: Task completed?
","[False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
calendar,add all the contacts anniversaries into Calendar,507cc6d19f89ee4a7733f0d2d5407dc52eefd470f265582e76878dab4ce6e7e6,14,3,14,0,14,0.0,False,False,0.0,False,False,False,"-ACTION 1: touched on button that has text ""Manage event types""
-ACTION 2: touched on button that has content-desc ""New Event""
-ACTION 3: touched on button that has content-desc ""Save""
-ACTION 4: touched on button that has text ""October 3 (Thu)""
-ACTION 5: touched on button that has text ""OK""
-ACTION 6: touched on button that has text ""Regular event""
-ACTION 7: touched on button that has text ""Add a new type""
-ACTION 8: touched on button that has resource-id ""type_color""
-ACTION 9: pressed ""BACK"" button to navigate back
-ACTION 10: touched on button that has text ""OK""
-ACTION 11: touched on button that has text ""CANCEL""
-ACTION 12: touched on button that has text ""Holidays""
-ACTION 13: touched on button that has content-desc ""Save""
-ACTION 14: touched on button that has text ""October 3 (Thu)""
-ACTION 15: scrolled
- ACTION 16: Task completed?
","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
